Athlete,Group,Body weight (kg),Attempt 1,Attempt 2,Attempt 3,Snatch Result (kg),Attempt 1,Attempt 2,Attempt 3,Clean Result (kg),Total (kg),Year,Gender
Lasha Talakhadze (GEO),A,157.34,205,210,215,215,242,247,258,258,473,2016,M
Gor Minasyan (ARM),A,143.67,200,207,210,210,236,241,241,241,451,2016,M
Irakli Turmanidze (GEO),A,135.58,197,203,207,207,228,235,241,241,448,2016,M
Ruben Aleksanyan (ARM),A,151.64,186,193,195,195,245,254,254,245,440,2016,M
Fernando Reis (BRA),A,154.58,190,195,195,195,240,245,247,240,435,2016,M
Rustam Djangabaev (UZB),B,145.88,185,190,195,195,230,237,237,237,432,2016,M
Mart Seim (EST),A,149.1,187,187,191,187,243,250,255,243,430,2016,M
Jiří Orság (CZE),A,127.27,185,190,191,185,230,240,243,240,425,2016,M
Almir Velagić (GER),A,149.17,188,192,192,188,232,240,242,232,420,2016,M
Péter Nagy (HUN),B,158.86,182,188,193,193,218,227,234,227,420,2016,M
Sardorbek Dustmurotov (UZB),B,109.79,170,175,179,179,225,232,240,232,411,2016,M
Aliksei Mzhachyk (BLR),B,135.6,180,187,187,187,215,220,224,224,411,2016,M
Walid Bidani (ALG),B,123.46,180,185,190,190,210,211,220,220,410,2016,M
Fernando Salas (ECU),B,162.5,171,181,184,184,211,221,—,221,405,2016,M
Man Asaad (SYR),B,143.42,180,187,187,180,220,233,233,220,400,2016,M
Alexej Prochorow (GER),B,138.31,180,185,185,180,207,215,220,215,395,2016,M
Igor Olshanetskyi (ISR),B,129.54,160,165,170,165,200,206,207,207,372,2016,M
Ondrej Kružel (SVK),B,118.64,160,165,170,165,200,200,206,206,371,2016,M
Ihor Shymechko (UKR),B,129.75,170,175,175,170,190,195,200,195,365,2016,M
Ruslan Nurudinov (UZB),A,104.96,190,194,197,194,225,230,237,237,431,2016,M
Simon Martirosyan (ARM),A,104.63,185,190,195,190,220,227,234,227,417,2016,M
Aleksandr Zaychikov (KAZ),A,104.51,185,190,193,193,223,227,227,223,416,2016,M
Yang Zhe (CHN),A,104.59,190,195,197,190,220,225,227,225,415,2016,M
Ivan Efremov (UZB),A,104.9,185,189,194,194,210,218,220,220,414,2016,M
Mohammad Reza Barari (IRI),A,104.65,180,185,186,186,220,230,231,220,406,2016,M
Arkadiusz Michalski (POL),A,104.77,175,179,179,179,221,228,228,221,400,2016,M
Artūrs Plēsnieks (LAT),A,103.99,176,180,181,181,218,223,225,218,399,2016,M
Salwan Jasim Abbood (IRQ),B,103.8,175,180,182,180,214,219,219,214,394,2016,M
Jürgen Spieß (GER),B,104.51,170,174,175,170,210,220,220,220,390,2016,M
Sargis Martirosjan (AUT),B,104.19,179,184,184,179,201,208,210,210,389,2016,M
Gaber Mohamed (EGY),B,104.98,166,171,173,173,204,208,–,204,377,2016,M
Hernán Viera (PER),B,103.85,142,147,151,151,193,197,200,200,351,2016,M
David Katoatau (KIR),B,104.58,135,140,145,145,195,204,208,204,349,2016,M
Sohrab Moradi (IRI),A,93.64,178,178,182,182,221,234,234,221,403,2016,M
Vadzim Straltsou (BLR),A,93.7,175,179,180,175,220,230,230,220,395,2016,M
Aurimas Didžbalis (LTU),A,92.42,177,177,177,177,210,215,223,215,392,2016,M
Sarat Sumpradit (THA),A,93.05,170,175,177,177,205,210,213,213,390,2016,M
Ragab Abdelhay (EGY),A,93.45,165,170,174,174,205,211,213,213,387,2016,M
Dmytro Chumak (UKR),A,93.66,174,174,177,174,213,213,220,213,387,2016,M
Ali Hashemi (IRI),A,93.1,172,173,173,173,210,220,220,210,383,2016,M
Aliaksandr Bersanau (BLR),A,93.57,167,173,177,173,208,214,215,208,381,2016,M
Volodymyr Hoza (UKR),B,93.66,165,170,174,170,195,200,205,205,375,2016,M
Park Han-woong (KOR),B,92.39,160,165,165,165,202,210,210,202,367,2016,M
Kendrick Farris (USA),B,93.24,160,165,165,160,197,201,205,197,357,2016,M
Kévin Bouly (FRA),B,93.76,145,150,155,155,180,185,190,190,345,2016,M
Simplice Ribouem (AUS),B,93.25,145,150,155,155,185,191,191,185,340,2016,M
Sonny Webster (GBR),B,93.58,148,148,151,148,185,190,190,185,333,2016,M
Cristopher Pavón (HON),B,93.26,140,140,145,145,180,185,185,180,325,2016,M
Petit Minkoumba (CMR),B,91.61,140,145,145,140,165,170,170,165,305,2016,M
James Adede (KEN),B,92.89,112,116,123,116,140,146,146,140,256,2016,M
Kianoush Rostami (IRI),A,84.26,174,179,182,179,215,215,217,217,396,2016,M
Tian Tao (CHN),A,84.85,173,178,178,178,210,210,217,217,395,2016,M
Denis Ulanov (KAZ),A,84.95,170,175,175,175,215,215,215,215,390,2016,M
Oleksandr Pielieshenko (UKR),A,84.73,170,173,175,175,210,210,212,210,385,2016,M
Petr Asayonak (BLR),A,84.24,165,170,173,170,201,207,215,207,377,2016,M
Pavel Khadasevich (BLR),A,84.47,166,170,173,170,195,201,201,195,365,2016,M
Faris Ibrahim (QAT),A,84.79,151,155,158,158,197,203,208,203,361,2016,M
Giovanni Bardis (FRA),B,84.63,160,160,165,165,185,190,192,192,357,2016,M
Benjamin Hennequin (FRA),A,84.43,155,160,160,155,195,202,202,195,350,2016,M
Yoelmis Hernández (CUB),A,84.49,150,150,150,150,200,205,205,200,350,2016,M
Theodoros Iakovidis (GRE),B,84.58,151,156,160,160,186,190,197,190,350,2016,M
Pascal Plamondon (CAN),B,85,150,155,155,155,185,185,190,190,345,2016,M
Yu Dong-ju (KOR),B,84.44,150,157,157,150,190,195,195,190,340,2016,M
Amar Musić (CRO),B,84.58,140,145,150,150,180,180,186,186,336,2016,M
Richie Patterson (NZL),B,84.13,145,149,149,149,181,186,187,181,330,2016,M
Hoàng Tấn Tài (VIE),B,84.27,135,140,145,145,172,180,185,180,325,2016,M
Welisson Silva (BRA),B,84.69,140,145,150,145,180,190,190,180,325,2016,M
Milko Tokola (FIN),B,84.79,140,145,148,145,170,175,175,175,320,2016,M
Khalid El-Aabidi (MAR),B,80.57,120,127,130,120,153,160,165,165,285,2016,M
Christian Amoah (GHA),B,83.52,121,125,130,130,153,153,157,153,283,2016,M
Nijat Rahimov (KAZ),A,76.19,160,165,168,165,202,214,–,214,379,2016,M
Lü Xiaojun (CHN),A,76.83,170,175,177,177,197,197,202,202,379,2016,M
Mohamed Mahmoud (EGY),A,76.69,160,165,168,165,196,196,203,196,361,2016,M
Chatuphum Chinnawong (THA),A,76.52,160,165,165,165,191,191,191,191,356,2016,M
Alexandru Șpac (MDA),A,76.52,150,155,158,155,185,190,192,192,347,2016,M
Andres Mauricio Caicedo (COL),B,76.26,150,150,155,155,191,197,197,191,346,2016,M
Andrés Mata (ESP),B,76.32,145,150,153,153,185,190,190,190,343,2016,M
Choe Jon-wi (PRK),A,76.54,153,157,158,153,184,190,194,190,343,2016,M
Ibrahim Abdelbaki (EGY),A,76.9,147,152,152,152,186,186,192,186,338,2016,M
Nico Müller (GER),B,76.7,145,149,151,151,177,181,185,181,332,2016,M
Sathish Sivalingam (IND),B,76.96,143,148,153,148,176,181,186,181,329,2016,M
Deni (INA),B,69.38,140,146,149,146,172,177,181,177,323,2016,M
Shi Zhiyong (CHN),A,68.72,156,160,162,162,188,190,198,190,352,2016,M
Daniyar Ismayilov (TUR),A,68.59,156,160,163,163,181,185,188,188,351,2016,M
Luis Javier Mosquera (COL),A,68.54,150,150,155,155,183,189,190,183,338,2016,M
Bredni Roque (MEX),A,68.63,145,145,145,145,181,187,187,181,326,2016,M
Briken Calja (ALB),A,68.84,145,151,151,145,175,181,184,181,326,2016,M
Serghei Cechir (MDA),B,68.75,140,144,147,144,170,175,178,178,322,2016,M
Bernardin Matam (FRA),A,68.71,140,144,144,140,175,180,182,180,320,2016,M
Won Jeong-sik (KOR),B,68.95,143,143,146,143,172,177,180,177,320,2016,M
Triyatno (INA),A,68.6,142,142,147,142,175,182,182,175,317,2016,M
David Sánchez (ESP),B,68.61,137,142,145,142,170,175,177,175,317,2016,M
Tairat Bunsuk (THA),B,68.65,137,141,141,137,175,179,181,179,316,2016,M
Mohd Hafifi Mansor (MAS),A,68.71,140,143,144,140,176,181,182,176,316,2016,M
Kwon Yong-gwang (PRK),B,68.36,137,142,142,137,168,172,176,176,313,2016,M
Doston Yokubov (UZB),B,68.95,133,137,140,137,172,176,181,176,313,2016,M
Edwin Mosquera (COL),B,68.69,140,144,144,140,165,170,175,170,310,2016,M
Mohsen Al-Duhaylib (KSA),B,68.96,128,135,137,135,162,171,171,162,297,2016,M
Pan Chien-hung (TPE),B,68.79,130,136,136,136,160,160,160,160,296,2016,M
Óscar Figueroa,A,61.86,137,142,145,142,172,176,179,176,318,2016,M
Eko Yuli Irawan,A,61.91,142,146,146,142,170,176,179,170,312,2016,M
Farkhad Kharki,A,61.6,135,140,140,135,170,177,177,170,305,2016,M
Yoichi Itokazu,A,61.87,126,130,133,133,160,165,169,169,302,2016,M
Ahmed Saad,A,62,127,131,133,133,155,161,164,161,294,2016,M
Morea Baru,A,61.72,122,126,129,126,159,164,168,164,290,2016,M
Muhammad Hasbi,A,61.97,125,130,134,130,160,169,173,160,290,2016,M
Vaipava Nevo Ioane,B,61.9,115,120,122,120,151,161,165,161,281,2016,M
Han Myeong-mok,A,61.81,130,135,135,130,150,155,155,150,280,2016,M
Julio Salamanca,B,62,115,120,120,120,150,155,155,155,275,2016,M
Julio Acosta González,B,61.3,114,117,120,120,142,146,151,146,266,2016,M
Yosuke Nakayama,B,62,121,124,124,121,140,145,150,145,266,2016,M
Rick Yves Confiance,B,62,100,105,110,105,127,133,133,127,232,2016,M
Long Qingquan,A,55.68,132,135,137,137,161,166,170,170,307,2016,M
Om Yun-chol,A,55.57,128,132,134,134,165,169,169,169,303,2016,M
Sinphet Kruaithong,A,55.43,125,131,132,132,154,157,161,157,289,2016,M
Arli Chontey,A,55.64,125,130,132,130,148,153,154,148,278,2016,M
Trần Lê Quốc Toàn,A,55.85,117,121,123,121,148,154,157,154,275,2016,M
Habib de las Salas,A,55.84,113,116,119,119,143,147,150,147,266,2016,M
Mirco Scarantino,A,55.91,115,115,120,115,143,146,149,149,264,2016,M
Luis García,B,55.56,110,115,118,118,140,145,145,145,263,2016,M
Witoon Mingmoon,A,55.67,113,113,116,113,148,151,151,148,261,2016,M
Edgar Pineda,B,56,103,108,111,108,140,140,143,143,251,2016,M
Hiroaki Takao,B,55.9,108,111,111,111,134,138,138,138,249,2016,M
Tan Chi-chung,B,55.89,110,110,110,110,131,135,138,138,248,2016,M
Manueli Tulo,B,55.81,103,106,109,106,130,136,139,136,242,2016,M
Tom Goegebuer,B,55.74,107,111,113,111,126,130,133,130,241,2016,M
Elson Brechtefeld,B,55.62,95,98,101,98,120,125,125,125,223,2016,M
Behdad Salimi,A,168.19,201,205,208,208,247,264,—,247,455,2012,M
Sajjad Anoushiravani,A,152.46,198,204,204,204,237,245,251,245,449,2012,M
Ruslan Albegov,A,147.15,198,204,208,208,240,245,247,240,448,2012,M
Jeon Sang-Guen,A,157.53,190,200,200,190,246,246,259,246,436,2012,M
Irakli Turmanidze,A,126.23,192,198,201,201,225,232,232,232,433,2012,M
Ihor Shymechko,A,137.38,197,197,200,197,225,232,237,232,429,2012,M
Jiří Orság,A,128.15,182,187,190,187,231,239,242,239,426,2012,M
Almir Velagić,A,141.41,186,190,192,192,229,234,238,234,426,2012,M
Yauheni Zharnasek,B,147.37,188,193,196,196,219,225,230,230,426,2012,M
Chen Shih-chieh,B,141.14,177,182,185,182,230,236,240,236,418,2012,M
Péter Nagy,B,155.55,184,191,196,191,216,225,230,225,416,2012,M
Fernando Reis,B,140.49,178,180,186,180,220,225,—,220,400,2012,M
Kazuomi Ota,B,146.51,180,184,185,185,215,215,222,215,400,2012,M
Itte Detenamo,B,151.32,165,170,175,175,205,215,215,215,390,2012,M
Christian López,B,139.15,172,177,177,172,209,209,215,215,387,2012,M
Damon Kelly,B,150.83,155,160,165,165,192,201,216,216,381,2012,M
Frederic Fokejou,B,132.74,150,155,160,160,190,200,202,202,362,2012,M
Carl Henriquez,B,150.38,115,122,127,122,160,160,171,160,282,2012,M
Oleksiy Torokhtiy,A,104.31,185,190,190,185,222,226,227,227,412,2012,M
Navab Nassirshalal,A,104.41,183,183,184,184,222,227,229,227,411,2012,M
Bartłomiej Bonk,A,104.01,185,188,190,190,219,220,225,220,410,2012,M
Ruslan Nurudinov,A,102.04,184,188,190,184,220,226,226,220,404,2012,M
Ivan Efremov,A,103.83,175,179,183,183,213,218,225,218,401,2012,M
Ahed Joughili,A,104.98,172,180,184,180,215,218,225,218,398,2012,M
Artūrs Plēsnieks,B,103.69,167,171,175,175,208,215,225,215,390,2012,M
Jorge Arroyo,B,103.96,175,180,185,185,200,200,208,200,385,2012,M
Jürgen Spieß,B,104.45,167,172,175,172,197,202,214,202,374,2012,M
Sergiy Tagirov,B,104.72,166,171,174,174,200,207,208,200,374,2012,M
Martin Tešovič,B,104.19,162,167,170,167,190,196,196,196,363,2012,M
Alexandr Zaichikov,B,97.74,155,165,165,155,195,201,205,205,360,2012,M
Jorge García,B,104.41,150,150,161,150,191,191,191,191,341,2012,M
Walid Bidani,B,101.45,160,160,165,160,180,180,180,180,340,2012,M
Saeid Mohammadpour (IRI),A,94,177,180,183,183,219,224,226,219,402,2012,M
Kim Min-jae (KOR),A,93.68,178,182,185,185,210,220,221,210,395,2012,M
Tomasz Zieliński (POL),B,93.61,167,172,175,175,208,210,215,210,385,2012,M
Aliaksandr Makaranka (BLR),B,93.65,165,170,175,175,200,205,209,209,384,2012,M
Kostyantyn Piliyev (UKR),B,93.59,160,166,166,166,200,206,206,206,372,2012,M
David Kavelasvili (GRE),B,93.21,165,170,173,170,200,205,205,200,370,2012,M
Endri Karina (ALB),B,93.9,155,155,161,155,185,190,195,195,350,2012,M
Abbas Al-Qaisoum (KSA),B,93.06,140,150,155,155,171,180,185,180,335,2012,M
Peter Kirkbride (GBR),B,93.37,138,142,142,138,180,185,190,190,328,2012,M
David Katoatau (KIR),B,93.32,135,140,140,140,185,190,190,185,325,2012,M
Cristopher Pavón (HON),B,93.2,130,135,140,140,170,177,180,180,320,2012,M
Miika Antti-Roiko (FIN),B,93.63,140,140,140,140,180,180,185,180,320,2012,M
Jean Greeff (RSA),B,93.32,130,137,141,137,170,175,176,176,313,2012,M
Adrian Zieliński,A,84.62,170,174,176,174,206,206,211,211,385,2012,M
Apti Aukhadov,A,84.75,169,173,175,175,205,210,212,210,385,2012,M
Kianoush Rostami,A,84.35,171,174,174,171,209,214,214,209,380,2012,M
Tarek Yehia,A,84.7,160,165,167,165,205,210,216,210,375,2012,M
Ivan Markov,A,84.71,168,172,172,172,203,209,209,203,375,2012,M
Ragab Abdelhay,A,84.81,161,165,167,165,202,207,210,207,372,2012,M
Yoelmis Hernández,A,82.28,158,158,163,163,205,210,210,205,368,2012,M
Mikalai Novikau,B,84.71,163,167,170,167,192,196,200,196,363,2012,M
Rauli Tsirekidze,B,84.49,162,167,167,162,195,200,202,200,362,2012,M
Kendrick Farris,B,84.7,150,150,155,155,190,200,208,200,355,2012,M
Sherzodjon Yusupov,B,84.72,150,155,159,155,180,195,195,195,350,2012,M
Pitaya Tibnoke,B,84.47,152,156,156,152,193,196,202,196,348,2012,M
Safaa Rashed,B,83.01,145,150,156,150,195,195,200,195,345,2012,M
Richie Patterson,B,84.46,150,150,154,150,183,186,195,186,336,2012,M
Steven Kari,B,84.74,135,140,145,140,175,180,185,180,320,2012,M
Nezir Sağır,B,83.45,130,130,140,140,160,170,175,175,315,2012,M
Lu Xiaojun,A,76.62,170,175,177,175,195,204,204,204,379,2012,M
Lu Haojie,A,76.37,170,175,–,170,190,191,—,190,360,2012,M
Iván Cambar,A,76.7,150,155,160,155,190,194,—,194,349,2012,M
Chatuphum Chinnawong,A,76.64,157,161,162,157,191,195,195,191,348,2012,M
Ibrahim Ramadan,A,76.79,150,155,155,155,192,192,197,192,347,2012,M
Andrés Mata,B,76.93,145,150,153,150,183,188,190,188,338,2012,M
Krzysztof Zwarycz,A,76.97,150,153,154,150,182,182,189,182,332,2012,M
Felix Ekpo),B,76.23,146,151,151,151,180,188,188,180,331,2012,M
Kirill Pavlov),B,76.77,138,143,147,147,165,175,175,175,322,2012,M
Jack Oliver,B,76.45,135,135,140,140,160,165,170,170,310,2012,M
Toafitu Perive,B,75.95,117,122,125,122,157,163,167,167,289,2012,M
Lin Qingfeng,A,67.79,152,155,157,157,182,187,198,187,344,2012,M
Triyatno,A,68.88,145,150,150,145,181,186,188,188,333,2012,M
Răzvan Martin,A,68.61,149,152,152,152,177,180,182,180,332,2012,M
Kim Myong-Hyok,B,68.78,140,145,145,145,177,184,187,184,329,2012,M
Junior Sánchez,B,68.67,145,148,148,148,172,176,180,180,328,2012,M
Mete Binay,A,68.7,150,150,153,150,175,180,180,175,325,2012,M
Won Jeong-Sik,A,68.73,144,147,147,144,178,186,187,178,322,2012,M
Sardar Hasanov,B,68.77,138,145,150,145,167,176,181,176,321,2012,M
Briken Calja,A,68.96,143,146,146,143,173,174,177,177,320,2012,M
Mohamed Abdelbaki,A,68.97,141,145,145,145,171,176,176,171,316,2012,M
Kim Kum-Sok,A,68.61,140,140,145,140,175,181,181,175,315,2012,M
Deni,A,67.63,140,140,145,140,170,171,177,171,311,2012,M
Daniyar Ismayilov,B,68.06,140,145,150,145,160,165,170,165,310,2012,M
Doyler Sánchez,B,68.11,135,138,140,138,170,170,174,170,308,2012,M
Katulu Ravi Kumar,B,68.67,136,141,141,136,167,176,176,167,303,2012,M
Atthaphon Daengchanthuek,B,68.83,130,135,135,130,165,170,170,170,300,2012,M
Gareth Evans,B,68.31,125,130,133,130,153,158,160,158,288,2012,M
Bünyamin Sezer,B,66.95,120,125,130,130,135,145,153,145,275,2012,M
Kim Un-guk (PRK),A,61.77,145,150,153,153,170,174,174,174,327,2012,M
Óscar Figueroa (COL),A,61.76,137,140,142,140,177,177,177,177,317,2012,M
Eko Yuli Irawan (INA),A,61.89,138,142,145,145,168,168,172,172,317,2012,M
Zhang Jie (CHN),A,61.86,140,145,145,140,174,178,178,174,314,2012,M
Hurşit Atak (TUR),A,61.93,130,134,134,130,166,166,172,172,302,2012,M
Umurbek Bazarbayev (TKM),A,61.95,135,135,139,135,162,165,167,167,302,2012,M
Muhammad Hasbi (INA),B,61.81,130,135,138,138,163,171,171,163,301,2012,M
Erol Bilgin (TUR),A,61.9,135,139,140,135,165,165,169,165,300,2012,M
Ahmed Saad (EGY),B,61.63,125,130,130,130,158,162,165,162,292,2012,M
Manuel Minginfel (FSM),B,61.86,122,127,130,127,158,158,158,158,285,2012,M
Julio Salamanca (ESA),B,61.03,110,115,115,110,150,150,155,150,260,2012,M
Tuau Lapua Lapua (TUV),B,61.62,104,108,111,108,126,131,135,135,243,2012,M
Charles Ssekyaaya (UGA),B,61.47,100,105,108,105,130,135,140,130,235,2012,M
Stevick Patris (PLW),B,61.34,100,104,108,104,125,130,132,130,234,2012,M
Om Yun-chol (PRK),B,55.76,120,125,125,125,160,165,168,168,293,2012,M
Wu Jingbiao (CHN),A,55.91,130,130,133,133,156,156,161,156,289,2012,M
Valentin Hristov (AZE),A,55.84,123,127,130,127,154,158,159,159,286,2012,M
Trần Lê Quốc Toàn (VIE),A,55.84,125,125,125,125,155,159,162,159,284,2012,M
Jadi Setiadi (INA),B,55.48,121,125,127,127,150,150,156,150,277,2012,M
José Montes (MEX),A,55.8,112,116,116,112,150,157,160,157,269,2012,M
Sergio Rada (COL),A,55.89,118,118,121,118,148,151,155,151,269,2012,M
Carlos Berna (COL),A,55.55,115,115,118,118,150,153,153,150,268,2012,M
Florin Croitoru (ROU),A,55.9,121,125,125,121,145,145,147,147,268,2012,M
Sin Chol-bom (PRK),B,55.72,110,110,113,113,145,150,150,145,258,2012,M
Yasmani Romero (CUB),B,55.95,112,112,116,112,142,146,146,146,258,2012,M
Tom Goegebuer (BEL),B,55.88,111,115,117,115,132,137,138,132,247,2012,M
Manueli Tulo (FIJ),B,55.77,100,105,110,105,128,132,132,128,233,2012,M
Mirco Scarantino (ITA),B,55.42,97,97,97,97,123,128,132,128,225,2012,M
Matthias Steiner (GER),A,145.93,198,203,207,203,246,248,258,258,461,2008,M
Evgeny Chigishev (RUS),A,124.13,200,205,210,210,240,247,250,250,460,2008,M
Viktors Ščerbatihs (LAT),A,144.97,198,203,206,206,242,244,257,242,448,2008,M
Artem Udachyn (UKR),A,144.09,197,203,207,207,235,235,241,235,442,2008,M
Ihor Shymechko (UKR),A,130.25,193,197,201,201,217,227,232,232,433,2008,M
Rashid Sharifi (IRI),B,142.89,188,192,196,196,230,238,238,230,426,2008,M
Grzegorz Kleszcz (POL),A,131.16,185,185,190,185,232,234,234,234,419,2008,M
Almir Velagić (GER),B,132.16,180,184,188,188,220,225,230,225,413,2008,M
Damon Kelly (AUS),B,154.15,165,170,170,165,211,211,221,221,386,2008,M
Itte Detenamo (NRU),B,148.48,165,170,175,175,205,210,215,210,385,2008,M
Antti Everi (FIN),B,130.04,166,166,171,171,195,201,201,195,366,2008,M
Sam Pera (COK),B,122.96,148,155,155,155,188,188,195,195,350,2008,M
Maamaloa Lolohea (TGA),B,135.13,127,135,140,140,173,185,185,173,313,2008,M
Andrei Aramnau (BLR),A,104.76,193,197,200,200,225,230,236,236,436,2008,M
Dmitry Klokov (RUS),A,104.72,185,190,193,193,222,226,230,230,423,2008,M
Marcin Dołęga (POL),A,104.37,195,200,201,195,225,228,228,225,420,2008,M
Bakhyt Akhmetov (KAZ),A,102.13,185,190,195,190,221,225,230,225,415,2008,M
Albert Kuzilov (GEO),A,102.48,178,182,182,182,220,227,228,227,409,2008,M
Sergey Istomin (KAZ),A,102.03,181,181,187,181,215,220,225,225,406,2008,M
Robert Dołęga (POL),A,104.27,178,181,184,184,217,221,221,221,405,2008,M
Nikolaos Kourtidis (GRE),B,103.36,171,176,176,176,210,215,221,221,397,2008,M
Mohsen Beiranvand (IRI),B,104.34,180,180,184,180,210,210,216,210,390,2008,M
Oleksiy Torokhtiy (UKR),B,104.64,172,177,181,177,213,220,220,213,390,2008,M
Ahed Joughili (SYR),B,104.9,170,170,175,170,215,215,216,216,386,2008,M
Abdelrahman El-Sayed (EGY),B,104.84,172,175,178,175,210,216,216,210,385,2008,M
Bünyamin Sudaş (TUR),B,104.39,163,166,166,166,202,207,210,207,373,2008,M
Libor Wälzer (CZE),B,104.64,158,163,166,163,187,187,193,187,350,2008,M
Christian López (GUA),B,103.76,150,155,155,150,180,186,186,186,336,2008,M
Moreno Boer (ITA),B,104.45,150,150,150,150,180,185,185,180,330,2008,M
Szymon Kołecki (POL),A,93.73,174,177,179,179,217,224,228,224,403,2008,M
Arsen Kasabiev (GEO),A,93.69,172,176,178,176,215,223,231,223,399,2008,M
Yoandry Hernández (CUB),A,92.3,172,172,178,178,215,220,220,215,393,2008,M
Asghar Ebrahimi (IRI),A,92.32,180,184,184,180,212,212,217,212,392,2008,M
Roman Konstantinov (RUS),A,93.9,175,179,179,175,212,212,222,212,387,2008,M
Jürgen Spieß (GER),A,93.74,170,173,175,173,206,211,214,211,384,2008,M
José Juan Navarro (ESP),B,93.09,165,170,173,173,206,210,212,210,383,2008,M
Artem Ivanov (UKR),A,93.97,170,175,175,170,205,210,214,210,380,2008,M
Vadim Vacarciuc (MDA),B,93.69,168,168,172,168,205,205,212,205,373,2008,M
Eugen Bratan (MDA),B,93.71,170,175,175,170,200,207,207,200,370,2008,M
Konstantinos Gkaripis (GRE),B,93.01,150,157,160,160,190,195,200,200,360,2008,M
Anastasios Triantafyllou (GRE),B,93.9,147,155,160,155,185,190,196,196,351,2008,M
Ravi Bhollah (MRI),B,93.03,125,130,130,125,145,150,157,150,275,2008,M
Lu Yong (CHN),A,84.41,175,180,183,180,208,214,214,214,394,2008,M
Tigran Martirosyan (ARM),A,83.78,172,177,180,177,203,203,206,203,380,2008,M
Jadier Valladares (CUB),A,84.84,161,166,169,169,198,198,203,203,372,2008,M
Benjamin Hennequin (FRA),A,84.55,157,162,162,162,196,201,205,205,367,2008,M
Mansurbek Chashemov (UZB),A,84.71,165,165,169,165,195,199,202,202,367,2008,M
Kendrick Farris (USA),B,84.14,153,157,160,160,195,195,202,202,362,2008,M
Carlos Andica (COL),B,84.62,155,160,160,155,190,195,201,201,356,2008,M
Ulanbek Moldodosov (KGZ),B,84.74,152,160,160,152,182,190,194,194,346,2008,M
Ondrej Kutlík (SVK),B,84.89,150,155,155,150,186,191,193,193,343,2008,M
Benedict Uloko (NGR),B,84.97,144,148,151,148,187,187,191,191,339,2008,M
Brice Batchaya (CMR),B,82.77,150,153,155,153,180,185,185,180,333,2008,M
David Katoatau (KIR),B,84.17,130,130,135,135,170,178,178,178,313,2008,M
Terrence Dixie (SEY),B,82.67,110,115,115,115,130,140,140,140,255,2008,M
Sa Jae-hyouk (KOR),A,76.46,160,163,165,163,201,203,211,203,366,2008,M
Li Hongli (CHN),A,76.91,163,168,170,168,193,198,198,198,366,2008,M
Gevorg Davtyan (ARM),A,76.77,165,165,165,165,195,195,201,195,360,2008,M
Kim Kwang-hoon (KOR),A,76.86,155,155,160,155,200,206,206,200,355,2008,M
Oleg Perepetchenov (RUS),A,76.8,158,162,165,162,192,199,199,192,354,2008,M
Iván Cambar (CUB),A,76.53,152,157,160,157,190,196,196,196,353,2008,M
Ara Khachatryan (ARM),A,76.78,162,166,166,162,191,195,195,191,353,2008,M
Krzysztof Szramiak (POL),A,76.71,157,161,165,161,191,191,194,191,352,2008,M
Vladimir Kuznetsov (KAZ),A,76.86,155,160,160,160,191,191,197,191,351,2008,M
Siarhei Lahun (BLR),A,76.56,153,157,157,157,187,192,196,192,349,2008,M
Sandow Nasution (INA),A,76.92,145,152,153,153,185,194,200,194,347,2008,M
Mahmoud El-Haddad (EGY),A,76.73,145,150,155,150,192,198,198,192,342,2008,M
Erkand Qerimaj (ALB),B,76.52,145,150,154,154,182,187,193,187,341,2008,M
Giovanni Bardis (FRA),B,76.83,149,153,156,156,173,178,178,173,329,2008,M
Felix Ekpo (NGR),B,75.83,143,148,150,143,178,182,185,183,325,2008,M
