Athlete,Group,Body weight,Attempt 1,Attempt 2,Attempt 3,Snatch Result (kg),Attempt 1,Attempt 2,Attempt 3,Clean Result (kg),Total,Year
,,,,,,,,,,,,
Lasha Talakhadze (GEO),A,157.34,205,210,215,215,242,247,258,258,473,2016
Gor Minasyan (ARM),A,143.67,200,207,210,210,236,241,241,241,451,2016
Irakli Turmanidze (GEO),A,135.58,197,203,207,207,228,235,241,241,448,2016
Ruben Aleksanyan (ARM),A,151.64,186,193,195,195,245,254,254,245,440,2016
Fernando Reis (BRA),A,154.58,190,195,195,195,240,245,247,240,435,2016
Rustam Djangabaev (UZB),B,145.88,185,190,195,195,230,237,237,237,432,2016
Mart Seim (EST),A,149.1,187,187,191,187,243,250,255,243,430,2016
Jiří Orság (CZE),A,127.27,185,190,191,185,230,240,243,240,425,2016
Almir Velagić (GER),A,149.17,188,192,192,188,232,240,242,232,420,2016
Péter Nagy (HUN),B,158.86,182,188,193,193,218,227,234,227,420,2016
Sardorbek Dustmurotov (UZB),B,109.79,170,175,179,179,225,232,240,232,411,2016
Aliksei Mzhachyk (BLR),B,135.6,180,187,187,187,215,220,224,224,411,2016
Walid Bidani (ALG),B,123.46,180,185,190,190,210,211,220,220,410,2016
Fernando Salas (ECU),B,162.5,171,181,184,184,211,221,—,221,405,2016
Man Asaad (SYR),B,143.42,180,187,187,180,220,233,233,220,400,2016
Alexej Prochorow (GER),B,138.31,180,185,185,180,207,215,220,215,395,2016
Igor Olshanetskyi (ISR),B,129.54,160,165,170,165,200,206,207,207,372,2016
Ondrej Kružel (SVK),B,118.64,160,165,170,165,200,200,206,206,371,2016
Ihor Shymechko (UKR),B,129.75,170,175,175,170,190,195,200,195,365,2016
Behdad Salimi,A,168.19,201,205,208,208,247,264,—,247,455,2012
Sajjad Anoushiravani,A,152.46,198,204,204,204,237,245,251,245,449,2012
Ruslan Albegov,A,147.15,198,204,208,208,240,245,247,240,448,2012
Jeon Sang-Guen,A,157.53,190,200,200,190,246,246,259,246,436,2012
Irakli Turmanidze,A,126.23,192,198,201,201,225,232,232,232,433,2012
Ihor Shymechko,A,137.38,197,197,200,197,225,232,237,232,429,2012
Jiří Orság,A,128.15,182,187,190,187,231,239,242,239,426,2012
Almir Velagić,A,141.41,186,190,192,192,229,234,238,234,426,2012
Yauheni Zharnasek,B,147.37,188,193,196,196,219,225,230,230,426,2012
Chen Shih-chieh,B,141.14,177,182,185,182,230,236,240,236,418,2012
Péter Nagy,B,155.55,184,191,196,191,216,225,230,225,416,2012
Fernando Reis,B,140.49,178,180,186,180,220,225,—,220,400,2012
Kazuomi Ota,B,146.51,180,184,185,185,215,215,222,215,400,2012
Itte Detenamo,B,151.32,165,170,175,175,205,215,215,215,390,2012
Christian López,B,139.15,172,177,177,172,209,209,215,215,387,2012
Damon Kelly,B,150.83,155,160,165,165,192,201,216,216,381,2012
Frederic Fokejou,B,132.74,150,155,160,160,190,200,202,202,362,2012
Carl Henriquez,B,150.38,115,122,127,122,160,160,171,160,282,2012
Matthias Steiner (GER),A,145.93,198,203,207,203,246,248,258,258,461,2008
Evgeny Chigishev (RUS),A,124.13,200,205,210,210,240,247,250,250,460,2008
Viktors Ščerbatihs (LAT),A,144.97,198,203,206,206,242,244,257,242,448,2008
Artem Udachyn (UKR),A,144.09,197,203,207,207,235,235,241,235,442,2008
Ihor Shymechko (UKR),A,130.25,193,197,201,201,217,227,232,232,433,2008
Rashid Sharifi (IRI),B,142.89,188,192,196,196,230,238,238,230,426,2008
Grzegorz Kleszcz (POL),A,131.16,185,185,190,185,232,234,234,234,419,2008
Almir Velagić (GER),B,132.16,180,184,188,188,220,225,230,225,413,2008
Damon Kelly (AUS),B,154.15,165,170,170,165,211,211,221,221,386,2008
Itte Detenamo (NRU),B,148.48,165,170,175,175,205,210,215,210,385,2008
Antti Everi (FIN),B,130.04,166,166,171,171,195,201,201,195,366,2008
Sam Pera (COK),B,122.96,148,155,155,155,188,188,195,195,350,2008
Maamaloa Lolohea (TGA),B,135.13,127,135,140,140,173,185,185,173,313,2008
Hossein Rezazadeh (IRI),A,162.95,200,207.5,210,210,250,263.5,263.5,262.5,472.5,2004
Viktors Ščerbatihs (LAT),A,140.72,197.5,202.5,205,205,242.5,247.5,250,250,455,2004
Velichko Cholakov (BUL),A,161.31,200,205,207.5,207.5,240,245,245,240,447.5,2004
Hennadiy Krasylnykov (UKR),B,118.43,195,195,200,200,235,240,240,240,440,2004
Oleksiy Kolokoltsev (UKR),A,125.07,190,195,195,195,235,242.5,252.5,242.5,437.5,2004
Paweł Najdek (POL),A,140.44,182.5,187.5,190,190,240,250,250,240,430,2004
Shane Hamman (USA),A,158.93,192.5,197.5,197.5,192.5,230,237.5,242.5,237.5,430,2004
An Yong-kwon (KOR),A,136.9,195,202.5,205,202.5,225,235,240,225,427.5,2004
Igor Khalilov (UZB),B,145.33,180,185,187.5,187.5,225,232.5,232.5,232.5,420,2004
Grzegorz Kleszcz (POL),B,124.33,185,190,192.5,190,225,230,230,225,415,2004
Mohamed Ihsan (EGY),B,142.72,180,185,190,185,220,227.5,232.5,220,405,2004
Takanobu Iwazaki (JPN),B,127.7,165,170,170,170,215,225,225,215,385,2004
Joel Bran (GUA),B,134.26,150,160,165,160,210,210,220,210,370,2004
Itte Detenamo (NRU),B,137.65,147.5,152.5,155,155,192.5,197.5,—,192.5,347.5,2004
Hossein Rezazadeh (IRI),A,147.48,205,210,212.5,212.5,250,255,260,260,472.5,2000
Ronny Weller (GER),A,146.88,200,207.5,210,210,250,257.5,262.5,257.5,467.5,2000
Andrey Chemerkin (RUS),A,174.84,190,200,202.5,202.5,250,260,272.5,260,462.5,2000
Jaber Saeed Salem (QAT),A,123.64,200,205,210,205,250,255,260,255,460,2000
Kim Tae-hyun (KOR),A,133.36,195,195,200,200,245,260,265,260,460,2000
Viktors Ščerbatihs (LAT),A,131.58,197.5,202.5,202.5,202.5,242.5,250,257.5,250,452.5,2000
Paweł Najdek (POL),A,134.64,180,185,185,185,240,245,250,240,425,2000
Tibor Stark (HUN),B,140.62,180,190,195,195,220,230,—,230,425,2000
Hennadiy Krasylnykov (UKR),A,118.02,190,197.5,197.5,190,230,240,—,230,420,2000
